docks,id,lat,lon,name
18,BikePoints_189,51.531666,-0.109914,"Claremont Square, Angel"
21,BikePoints_190,51.489975,-0.132845,"Rampayne Street, Pimlico"
28,BikePoints_191,51.503117,-0.15352,"Hyde Park Corner, Hyde Park"
16,BikePoints_192,51.512515,-0.133201,"Wardour Street, Soho"
60,BikePoints_193,51.505817,-0.100186,"Bankside Mix, Bankside"
49,BikePoints_194,51.504627,-0.091773,"Hop Exchange, The Borough"
30,BikePoints_195,51.507244,-0.106237,"Milroy Walk, South Bank"
27,BikePoints_197,51.505569,-0.111606,"Stamford Street, South Bank"
24,BikePoints_199,51.510484,-0.082989,"Great Tower Street, Monument"
14,BikePoints_200,51.514924,-0.066078,"LMU Commercial Road, Whitechapel"
16,BikePoints_201,51.522596,-0.161113,"Dorset Square, Marylebone"
37,BikePoints_202,51.512363,-0.069542,"Leman Street, Aldgate"
15,BikePoints_203,51.518218,-0.100791,"West Smithfield Rotunda, Farringdon"
19,BikePoints_204,51.526599,-0.112432,"Margery Street, Clerkenwell"
36,BikePoints_206,51.518154,-0.062697,"New Road 1, Whitechapel"
20,BikePoints_208,51.525051,-0.166304,"Mallory Street, Marylebone"
30,BikePoints_209,51.493583,-0.165101,"Denyer Street, Knightsbridge"
34,BikePoints_211,51.494645,-0.158105,"Cadogan Place, Knightsbridge"
17,BikePoints_212,51.506584,-0.199004,"Campden Hill Road, Notting Hill"
36,BikePoints_213,51.50274,-0.149569,"Wellington Arch, Hyde Park"
32,BikePoints_214,51.526838,-0.130504,"Endsleigh Gardens, Euston"
54,BikePoints_215,51.519069,-0.088285,"Moorfields, Moorgate"
30,BikePoints_216,51.490945,-0.18119,"Old Brompton Road, South Kensington"
16,BikePoints_217,51.516154,-0.082422,"Wormwood Street, Liverpool Street"
20,BikePoints_218,51.489716,-0.170194,"St. Luke's Church, Chelsea"
29,BikePoints_219,51.490163,-0.190393,"Bramham Gardens, Earl's Court"
27,BikePoints_220,51.490664,-0.166485,"Chelsea Green, Chelsea"
16,BikePoints_221,51.494816,-0.130458,"Horseferry Road, Westminster"
43,BikePoints_222,51.502757,-0.155349,"Knightsbridge, Hyde Park"
24,BikePoints_223,51.491484,-0.09022,"Rodney Road, Walworth"
16,BikePoints_224,51.514769,-0.188129,"Whiteley's, Bayswater"
30,BikePoints_225,51.509353,-0.196422,"Notting Hill Gate Station, Notting Hill"
24,BikePoints_226,51.508446,-0.131961,"Charles II Street, West End"
23,BikePoints_227,51.528915,-0.11548,"Great Percy Street, Clerkenwell"
40,BikePoints_228,51.507424,-0.134621,"St. James's Square, St. James's"
24,BikePoints_229,51.506543,-0.123179,"Whitehall Place, Strand"
31,BikePoints_230,51.506692,-0.103137,"Poured Lines, Bankside"
31,BikePoints_231,51.493967,-0.178732,"Queen's Gate (Central), South Kensington"
16,BikePoints_232,51.51501,-0.112753,"Carey Street, Holborn"
22,BikePoints_233,51.50777,-0.130699,"Pall Mall East, West End"
24,BikePoints_234,51.534504,-0.106992,"Liverpool Road (N1 Centre), Angel"
36,BikePoints_235,51.495718,-0.110889,"Kennington Road , Vauxhall"
30,BikePoints_236,51.51838,-0.073438,"Fashion Street, Whitechapel"
30,BikePoints_237,51.509786,-0.068161,"Dock Street, Wapping"
32,BikePoints_238,51.523353,-0.175116,"Frampton Street, Paddington"
26,BikePoints_239,51.524438,-0.138019,"Warren Street Station, Euston"
14,BikePoints_240,51.505459,-0.105692,"Colombo Street, Southwark"
23,BikePoints_242,51.522008,-0.151359,"Beaumont Street, Marylebone"
25,BikePoints_243,51.490962,-0.139625,"Gloucester Street, Pimlico"
18,BikePoints_244,51.516118,-0.128585,"Earnshaw Street, Covent Garden"
29,BikePoints_245,51.485357,-0.142207,"Grosvenor Road, Pimlico"
41,BikePoints_246,51.522853,-0.099994,"Berry Street, Clerkenwell"
50,BikePoints_247,51.530052,-0.168314,"St. John's Wood Church, The Regent's Park"
27,BikePoints_248,51.506451,-0.170279,"Triangle Car Park, Hyde Park"
42,BikePoints_249,51.498597,-0.096191,"Harper Road, The Borough"
10,BikePoints_250,51.489932,-0.162727,"Royal Avenue 1, Chelsea"
34,BikePoints_251,51.518908,-0.079249,"Brushfield Street, Liverpool Street"
30,BikePoints_252,51.504636,-0.116542,"Jubilee Gardens, South Bank"
30,BikePoints_253,51.534042,-0.086379,"Shoreditch Park, Hoxton"
17,BikePoints_254,51.530515,-0.106408,"Chadwell Street, Angel"
22,BikePoints_255,51.525575,-0.179592,"Clifton Road, Maida Vale"
15,BikePoints_256,51.51362,-0.116764,"Houghton Street, Strand"
16,BikePoints_257,51.522481,-0.154907,"Westminster University, Marylebone"
23,BikePoints_258,51.501432,-0.178656,"Kensington Gore, Knightsbridge"
18,BikePoints_260,51.513684,-0.13558,"Broadwick Street, Soho"
15,BikePoints_261,51.513489,-0.191351,"Princes Square, Bayswater"
35,BikePoints_262,51.498744,-0.103132,"LSBU (Borough Road), Elephant & Castle"
21,BikePoints_263,51.514225,-0.08066,"St. Mary Axe, Aldgate"
20,BikePoints_264,51.526443,-0.109256,"Tysoe Street, Clerkenwell"
17,BikePoints_265,51.515953,-0.169249,"Southwick Street, Paddington"
41,BikePoints_266,51.501026,-0.180246,"Queen's Gate (North), Kensington"
22,BikePoints_267,51.49206,-0.132224,"Regency Street, Westminster"
29,BikePoints_268,51.493204,-0.144132,"Belgrave Road, Victoria"
46,BikePoints_269,51.500823,-0.08974,"Empire Square, The Borough"
31,BikePoints_270,51.486343,-0.122492,"Kennington Lane Rail Bridge, Vauxhall"
32,BikePoints_271,51.535836,-0.156285,"London Zoo,  The Regent's Park"
22,BikePoints_272,51.501444,-0.110699,"Baylis Road, Waterloo"
38,BikePoints_273,51.506133,-0.114686,"Belvedere Road 1, South Bank"
36,BikePoints_274,51.496712,-0.205284,"Warwick Road, Olympia"
19,BikePoints_275,51.520044,-0.092176,"Barbican Centre, Barbican"
24,BikePoints_276,51.509301,-0.084985,"Lower Thames Street, Monument"
